code,average
rating010101[ImasM],1.28
rating010101[ImasF],1.0
rating010101[WtiM],1.44
rating010101[WtiF],1.0
rating010102[ImasM],3.24
rating010102[ImasF],2.0
rating010102[WtiM],4.56
rating010102[WtiF],3.2
rating010103[ImasM],4.72
rating010103[ImasF],2.16
rating010103[WtiM],4.76
rating010103[WtiF],3.92
realistic0101,4.08
frequency0101,3.08
rating010201[ImasM],1.2
rating010201[ImasF],2.32
rating010201[WtiM],1.48
rating010201[WtiF],3.68
rating010202[ImasM],2.2
rating010202[ImasF],2.84
rating010202[WtiM],3.8
rating010202[WtiF],4.12
realistic0102,4.04
frequency0102,3.12
rating010501[ImasM],2.08
rating010501[ImasF],3.16
rating010501[WtiM],2.84
rating010501[WtiF],4.44
rating010502[ImasM],2.36
rating010502[ImasF],3.8
rating010502[WtiM],3.96
rating010502[WtiF],4.48
realistic0105,4.12
frequency0105,3.16
rating010601[ImasM],2.8
rating010601[ImasF],1.4
rating010601[WtiM],4.2
rating010601[WtiF],1.6
rating010602[ImasM],3.12
rating010602[ImasF],2.04
rating010602[WtiM],4.32
rating010602[WtiF],2.96
rating010603[ImasM],4.24
rating010603[ImasF],2.12
rating010603[WtiM],4.52
rating010603[WtiF],3.68
rating010604[ImasM],5.0
rating010604[ImasF],1.48
rating010604[WtiM],4.76
rating010604[WtiF],4.08
realistic0106,4.24
frequency0106,3.0
rating010701[ImasM],1.36
rating010701[ImasF],2.32
rating010701[WtiM],1.36
rating010701[WtiF],3.08
rating010702[ImasM],1.48
rating010702[ImasF],4.44
rating010702[WtiM],2.68
rating010702[WtiF],4.56
rating010703[ImasM],1.52
rating010703[ImasF],4.96
rating010703[WtiM],3.84
rating010703[WtiF],4.8
realistic0107,4.04
frequency0107,3.12
rating010801[ImasM],2.0
rating010801[ImasF],4.0
rating010801[WtiM],4.08
rating010801[WtiF],4.76
realistic0108,3.64
frequency0108,2.8
rating020101[ImasM],2.64
rating020101[ImasF],1.52
rating020101[WtiM],4.0
rating020101[WtiF],1.8
rating020102[ImasM],2.84
rating020102[ImasF],2.04
rating020102[WtiM],4.0
rating020102[WtiF],2.92
rating020103[ImasM],3.12
rating020103[ImasF],2.2
rating020103[WtiM],3.68
rating020103[WtiF],3.64
realistic0201,2.88
frequency0201,2.08
rating020301[ImasM],1.16
rating020301[ImasF],1.84
rating020301[WtiM],1.32
rating020301[WtiF],2.52
rating020302[ImasM],2.0
rating020302[ImasF],3.16
rating020302[WtiM],2.92
rating020302[WtiF],4.48
rating020303[ImasM],1.56
rating020303[ImasF],4.84
rating020303[WtiM],4.32
rating020303[WtiF],4.8
realistic0203,3.6
frequency0203,2.48
rating03a0201[ImasM],1.32
rating03a0201[ImasF],2.84
rating03a0201[WtiM],1.52
rating03a0201[WtiF],4.24
rating03a0202[ImasM],2.28
rating03a0202[ImasF],4.24
rating03a0202[WtiM],4.04
rating03a0202[WtiF],4.48
realistic03a02,4.0
frequency03a02,3.0
rating03a0301[ImasM],1.28
rating03a0301[ImasF],2.92
rating03a0301[WtiM],1.48
rating03a0301[WtiF],4.32
rating03a0302[ImasM],2.04
rating03a0302[ImasF],4.0
rating03a0302[WtiM],3.08
rating03a0302[WtiF],4.48
rating03a0303[ImasM],2.16
rating03a0303[ImasF],4.96
rating03a0303[WtiM],4.16
rating03a0303[WtiF],4.84
realistic03a03,4.2
frequency03a03,3.2
rating03a0401[ImasM],2.76
rating03a0401[ImasF],1.32
rating03a0401[WtiM],4.12
rating03a0401[WtiF],1.56
rating03a0402[ImasM],2.92
rating03a0402[ImasF],1.76
rating03a0402[WtiM],4.12
rating03a0402[WtiF],2.64
rating03a0403[ImasM],3.84
rating03a0403[ImasF],2.24
rating03a0403[WtiM],4.44
rating03a0403[WtiF],3.76
realistic03a04,4.12
frequency03a04,3.04
rating03a0601[ImasM],2.56
rating03a0601[ImasF],1.52
rating03a0601[WtiM],4.12
rating03a0601[WtiF],2.36
rating03a0602[ImasM],4.96
rating03a0602[ImasF],2.12
rating03a0602[WtiM],4.8
rating03a0602[WtiF],4.0
realistic03a06,4.24
frequency03a06,3.36
rating03a0701[ImasM],4.0
rating03a0701[ImasF],2.08
rating03a0701[WtiM],4.24
rating03a0701[WtiF],4.52
realistic03a07,3.8
frequency03a07,2.76
rating03a0801[ImasM],2.56
rating03a0801[ImasF],3.08
rating03a0801[WtiM],3.96
rating03a0801[WtiF],4.44
realistic03a08,3.92
frequency03a08,2.96
rating03b0501[ImasM],1.56
rating03b0501[ImasF],1.96
rating03b0501[WtiM],1.68
rating03b0501[WtiF],2.84
rating03b0502[ImasM],1.96
rating03b0502[ImasF],2.36
rating03b0502[WtiM],2.84
rating03b0502[WtiF],3.6
rating03b0503[ImasM],3.64
rating03b0503[ImasF],2.28
rating03b0503[WtiM],4.2
rating03b0503[WtiF],3.4
realistic03b05,3.96
frequency03b05,3.12
rating03b0601[ImasM],2.68
rating03b0601[ImasF],1.76
rating03b0601[WtiM],3.92
rating03b0601[WtiF],2.64
rating03b0602[ImasM],2.52
rating03b0602[ImasF],4.48
rating03b0602[WtiM],4.08
rating03b0602[WtiF],4.4
realistic03b06,4.04
frequency03b06,3.12
rating03b0701[ImasM],2.92
rating03b0701[ImasF],1.96
rating03b0701[WtiM],4.2
rating03b0701[WtiF],2.88
rating03b0702[ImasM],2.32
rating03b0702[ImasF],4.56
rating03b0702[WtiM],4.24
rating03b0702[WtiF],4.56
realistic03b07,4.08
frequency03b07,3.0
rating03b1201[ImasM],2.64
rating03b1201[ImasF],1.84
rating03b1201[WtiM],3.96
rating03b1201[WtiF],2.48
rating03b1202[ImasM],2.16
rating03b1202[ImasF],4.72
rating03b1202[WtiM],3.96
rating03b1202[WtiF],4.72
realistic03b12,3.92
frequency03b12,2.92
rating040201[ImasM],1.44
rating040201[ImasF],1.76
rating040201[WtiM],1.52
rating040201[WtiF],1.6
rating040202[ImasM],1.88
rating040202[ImasF],1.96
rating040202[WtiM],2.4
rating040202[WtiF],1.8
rating040203[ImasM],2.72
rating040203[ImasF],2.08
rating040203[WtiM],4.04
rating040203[WtiF],2.16
rating040204[ImasM],3.12
rating040204[ImasF],2.28
rating040204[WtiM],4.24
rating040204[WtiF],3.04
rating040205[ImasM],4.36
rating040205[ImasF],2.2
rating040205[WtiM],4.44
rating040205[WtiF],4.16
realistic0402,4.24
frequency0402,3.24
rating040301[ImasM],2.12
rating040301[ImasF],3.36
rating040301[WtiM],2.36
rating040301[WtiF],4.56
rating040302[ImasM],1.68
rating040302[ImasF],5.0
rating040302[WtiM],4.16
rating040302[WtiF],4.72
realistic0403,4.48
frequency0403,3.4
rating040401[ImasM],2.52
rating040401[ImasF],2.52
rating040401[WtiM],2.84
rating040401[WtiF],4.64
rating040402[ImasM],3.6
rating040402[ImasF],2.36
rating040402[WtiM],4.16
rating040402[WtiF],4.64
realistic0404,4.24
frequency0404,3.16
rating050301[ImasM],1.16
rating050301[ImasF],1.32
rating050301[WtiM],1.2
rating050301[WtiF],1.12
rating050302[ImasM],1.16
rating050302[ImasF],1.8
rating050302[WtiM],1.16
rating050302[WtiF],2.48
rating050303[ImasM],1.64
rating050303[ImasF],2.2
rating050303[WtiM],2.56
rating050303[WtiF],3.6
rating050304[ImasM],4.92
rating050304[ImasF],1.84
rating050304[WtiM],4.52
rating050304[WtiF],3.64
realistic0503,3.64
frequency0503,2.76
rating050501[ImasM],3.2
rating050501[ImasF],1.64
rating050501[WtiM],4.04
rating050501[WtiF],2.44
rating050502[ImasM],4.64
rating050502[ImasF],2.04
rating050502[WtiM],4.6
rating050502[WtiF],3.76
realistic0505,3.4
frequency0505,2.52
rating050601[ImasM],2.12
rating050601[ImasF],2.68
rating050601[WtiM],2.88
rating050601[WtiF],3.96
rating050602[ImasM],1.88
rating050602[ImasF],4.52
rating050602[WtiM],3.96
rating050602[WtiF],4.52
realistic0506,3.84
frequency0506,2.96
rating050801[ImasM],2.08
rating050801[ImasF],1.24
rating050801[WtiM],2.8
rating050801[WtiF],1.36
rating050802[ImasM],2.48
rating050802[ImasF],1.48
rating050802[WtiM],4.08
rating050802[WtiF],1.72
rating050803[ImasM],3.52
rating050803[ImasF],2.0
rating050803[WtiM],4.16
rating050803[WtiF],3.56
realistic0508,3.72
frequency0508,2.68
rating060301[ImasM],1.56
rating060301[ImasF],1.48
rating060301[WtiM],1.72
rating060301[WtiF],1.56
rating060302[ImasM],2.28
rating060302[ImasF],1.8
rating060302[WtiM],3.6
rating060302[WtiF],2.92
rating060303[ImasM],2.48
rating060303[ImasF],2.36
rating060303[WtiM],3.48
rating060303[WtiF],3.4
realistic0603,4.6
frequency0603,3.92
rating080101[ImasM],1.2
rating080101[ImasF],1.72
rating080101[WtiM],1.24
rating080101[WtiF],2.24
rating080102[ImasM],1.12
rating080102[ImasF],1.16
rating080102[WtiM],1.08
rating080102[WtiF],1.08
realistic0801,4.96
frequency0801,4.72
rating080201[ImasM],1.12
rating080201[ImasF],1.16
rating080201[WtiM],1.08
rating080201[WtiF],1.16
rating080202[ImasM],1.04
rating080202[ImasF],1.12
rating080202[WtiM],1.12
rating080202[WtiF],1.16
realistic0802,4.96
frequency0802,4.88
